,links,link_text,text_meta
0,"Link(url='http://api.scraperapi.com/?api_key=18fa7b1832038d45d7c56aa19587272a&proxy=residential&timeout=20000&url=https%3A%2F%2Fwww.google.com%2Fsearch%3Fq%3DWestern%2520Iowa%2520Dental%2520Group%2F', text='Report inappropriate predictions', fragment='', nofollow=False)",Report inappropriate predictions,Reviews are automatically processed to detect inappropriate content like fake reviews and spam. We may take down reviews that are flagged in order to comply with 
1,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/+site:westerniowadental.com&sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4QrAN6BAgXEAE', text='More results from westerniowadental.com\xa0»', fragment='', nofollow=False)",More results from westerniowadental.com »,"""At Western Iowa Dental Group we are dedicated to putting our patients first, and providing those patients with high-quality professional dental care. Dr. Galvin has improved the dental health of families throughout the Council Bluffs area. We provide...  "
2,"Link(url='https://www.facebook.com/Western-Iowa-Dental-Group-105953441673759/', text='Western Iowa Dental Group | Facebookhttps://www.facebook.com › Western-Iowa-Dental-Group...', fragment='', nofollow=False)",Western Iowa Dental Group | Facebookhttps://www.facebook.com › Western-Iowa-Dental-Group..., 
3,"Link(url='https://www.patientconnect365.com/Dentists/Iowa/CouncilBluffs/51501/Western_Iowa_Dental_Group', text='Western Iowa Dental Group - Dentist in Council Bluffs, IAhttps://www.patientconnect365.com › Dentists › Wester...', fragment='', nofollow=False)","Western Iowa Dental Group - Dentist in Council Bluffs, IAhttps://www.patientconnect365.com › Dentists › Wester...", 
4,"Link(url='https://www.patientconnect365.com/MicrositeContact/Iowa/CouncilBluffs/51501/Western_Iowa_Dental_Group', text='Western Iowa Dental Group - Dentist in Council Bluffs, IAhttps://www.patientconnect365.com › MicrositeContact', fragment='', nofollow=False)","Western Iowa Dental Group - Dentist in Council Bluffs, IAhttps://www.patientconnect365.com › MicrositeContact", 
5,"Link(url='https://www.yelp.com/biz/western-iowa-dental-group-council-bluffs-2', text='WESTERN IOWA DENTAL GROUP - General Dentistry - Yelphttps://www.yelp.com › ... › Dentists › General Dentistry', fragment='', nofollow=False)",WESTERN IOWA DENTAL GROUP - General Dentistry - Yelphttps://www.yelp.com › ... › Dentists › General Dentistry, 
6,"Link(url='http://api.scraperapi.com/maps/uv?pb=!1s0x87938519ec1c9421:0x993b8eb7fc5b68a2!3m1!7e115!4shttps://lh5.googleusercontent.com/p/AF1QipMYXCrFTSHQs33Gm03i9wGUsupSLVK2xb-6Pu6Z%3Dw160-h160-k-no!5sWestern+Iowa+Dental+Group/+-+Google+Search!15zQ2dJZ0FRPT0&imagekey=!1e10!2sAF1QipMYXCrFTSHQs33Gm03i9wGUsupSLVK2xb-6Pu6Z&hl=en&sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Qoip6BAhMEAM', text='See photos', fragment='', nofollow=False)",See photos, 
7,"Link(url='http://api.scraperapi.com/maps/uv?pb=!1s0x87938519ec1c9421:0x993b8eb7fc5b68a2!3m1!7e115!4s/maps/place/Western%2BIowa%2BDental%2BGroup%252F/@41.2680514,-95.8666801,3a,75y,186.73h,90t/data%3D*213m4*211e1*213m2*211s42-7Cp1C_UvJzHClcqF44g*212e0*214m2*213m1*211s0x87938519ec1c9421:0x993b8eb7fc5b68a2?sa%3DX!5sWestern+Iowa+Dental+Group/+-+Google+Search!15zQ2dJZ0FRPT0&imagekey=!1e2!2s42-7Cp1C_UvJzHClcqF44g&hl=en&sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Qpx96BAhMEAg', text='See outside', fragment='', nofollow=False)",See outside, 
8,"Link(url='http://api.scraperapi.com/search?q=western+iowa+dental+group+address&ludocid=11041575832292911266&sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q6BN6BAhcEAI', text='Address', fragment='', nofollow=False)",Address, 
9,"Link(url='http://api.scraperapi.com/search?q=western+iowa+dental+group+hours&ludocid=11041575832292911266&sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q6BN6BAhYEAI', text='Hours', fragment='', nofollow=False)",Hours, 
10,"Link(url='http://api.scraperapi.com/search?q=western+iowa+dental+group+phone&ludocid=11041575832292911266&sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q6BN6BAhbEAI', text='Phone', fragment='', nofollow=False)",Phone, 
11,"Link(url='https://business.google.com/create?hl=en&getstarted&authuser=0&fp=11041575832292911266&gmbsrc=us-en-et-ip-z-gmb-s-z-l~skp%7Cclaimbz_aoc_a%7Cu%7Cexp&ppsrc=GMBSI', text='Own this business?', fragment='', nofollow=False)",Own this business?, 
12,"Link(url='https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s116908187578408822209!2s0x87938519ec1c9421:0x993b8eb7fc5b68a2?sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Qv_QBegQIPxAY', text='""Excellent staff friendly atmosphere gentle service""', fragment='', nofollow=False)","""Excellent staff friendly atmosphere gentle service""", 
13,"Link(url='https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s112087133250384156821!2s0x87938519ec1c9421:0x993b8eb7fc5b68a2?sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Qv_QBegQIPxAc', text='""Uncaring, lacks customer service, inconsiderate money grubbers.""', fragment='', nofollow=False)","""Uncaring, lacks customer service, inconsiderate money grubbers.""", 
14,"Link(url='https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s115066285110272719607!2s0x87938519ec1c9421:0x993b8eb7fc5b68a2?sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Qv_QBegQIPxAg', text='""They\'re the nicest people, God bless them.""', fragment='', nofollow=False)","""They're the nicest people, God bless them.""", 
15,"Link(url='https://www.westerniowadental.com/blog/tips-for-choosing-between-over-the-counter-teeth-whitening-treatments-and-teeth-whitening-from-your-dentist/', text='Learn more', fragment='', nofollow=False)",Learn more, 
